id,exam_context,parent_id,name,level_type,sort_order,exam_weight_low,exam_weight_high,exam_source,relative_weight,weight_source,weight_locked,outline_type,status,created_at,updated_at,dimension_id
1,Surgery Shelf Exam,,Human Development,System,1,1.0,3.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
2,Surgery Shelf Exam,1,Adolescence,Subsystem,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
3,Surgery Shelf Exam,2,Puberty,Topic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
4,Surgery Shelf Exam,3,Growing pains,Subtopic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
5,Surgery Shelf Exam,1,Children,Subsystem,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
6,Surgery Shelf Exam,5,Normal development,Topic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
7,Surgery Shelf Exam,,Immune System,System,1,4.0,6.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
8,Surgery Shelf Exam,7,Disorders associated with immunodeficiency,Subsystem,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
9,Surgery Shelf Exam,8,deficiency primarily of humoral immunity,Topic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
10,Surgery Shelf Exam,9,common variable immunodeficiency,Subtopic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
11,Surgery Shelf Exam,9,hyper IgM syndrome,Subtopic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
12,Surgery Shelf Exam,9,"hypogammaglobulinemia/agammaglobulinemia, X-linked (Bruton)",Subtopic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
13,Surgery Shelf Exam,9,"selective immunodeficiency (eg, IgA, IgM, IgE)",Subtopic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
14,Surgery Shelf Exam,9,Autosomal dominany hyper-IgE syndrome (Job syndrome),Subtopic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
15,Surgery Shelf Exam,9,X-linked hyper IgM syndrome (HIGM1),Subtopic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
16,Surgery Shelf Exam,8,deficiency/dysfunction primarily of cell-mediated immunity,Topic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
17,Surgery Shelf Exam,16,adenosine deaminase deficiency,Subtopic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
18,Surgery Shelf Exam,16,thymic aplasia (DiGeorge syndrome),Subtopic,1,0.0,0.0,,,user_defined,0,content,active,2026-01-19 22:54:13,2026-01-19 22:54:13,4
